Rooms;Living_Space;Price;Address;Building_type;Location;possible_collocation;Transport_Index;Population
1;20;1200;Avenue de Riant-Mont 14, 1004 Lausanne;Studio;Lausanne;no;1,5;144365
2,5;48;1670;Avenue d'Echallens 42, 1004 Lausanne;Apartment;Lausanne;yes;1,5;144365
5;108;2506;Rue Elisa-Serment 2 a & b, 1018 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;80;2300;Chemin de la Colline 4, 1007 Lausanne;Apartment;Lausanne;yes;1,5;144365
2;57;1800;Avenue de Morges 19, 1004 Lausanne;Apartment;Lausanne;no;1,5;144365
4,5;106;2835;Le Grand-Chemin 112, 1066 Epalinges;Apartment;Epalinges;yes;1,25;9910
2,5;62;2220;Avenue Victor Ruffy 55a, 1012 Lausanne;Apartment;Lausanne;yes;1,5;144365
4;111;3060;Avenue EugŠne Rambert 30, 1005 Lausanne;Apartment;Lausanne;yes;1,5;144365
5;167;5341;Avenue du L‚man 34, 1005 Lausanne;Apartment;Lausanne;yes;1,5;144365
2,5;62;1590;Ch. de Rov‚r‚az 5, 1012 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;75;2070;Rue du Champ-du-Bois 6, 1052 Le Mont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
2,5;70;2591;Chemin des grandes Roches 7, 1018 Lausanne;Apartment;Lausanne;yes;1,5;144365
1,5;40;1542;Rue de Bourg 21, 1003 Lausanne;Apartment;Lausanne;no;1,5;144365
4;88;3027;1005 Lausanne;Apartment;Lausanne;yes;1,5;144365
2,5;50;2085;1004 Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;102;3150;Place Chauderon 24, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;82;2550;Route du Pƒquis 33, 1033 Cheseaux-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;115;3235;Chemin des Ormeaux 38, 1066 Epalinges;Apartment;Epalinges;yes;1,25;9910
2;90;1580;Avenue de Morges 43, 1004 Lausanne;Apartment;Lausanne;no;1,5;144365
2,5;51;1600;Rue de la pontaise 23, 1000 Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;114;3740;Rue des Terreaux 4, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
6,5;129;3434;Chemin des Croisettes 7, 1066 Epalinges;Apartment;Epalinges;yes;1,25;9910
3,5;88;2900;Route de la FeuillŠre 27, 1010 Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;109;3440;Rue Voltaire 14, 1006 Lausanne;Apartment;Lausanne;yes;1,5;144365
3;60;1690;Chemin Bois Gentil 51, 1018 Lausanne;Apartment;Lausanne;yes;1,5;144365
2;50;1630;Chemin Bois Gentil 53, 1018 Lausanne;Apartment;Lausanne;no;1,5;144365
2,5;68;1770;Rue Marterey 11, 1000 Lausanne;Apartment;Lausanne;yes;1,5;144365
1,5;34;1538;Route de la FeuillŠre 19, 1010 Lausanne;Apartment;Lausanne;no;1,5;144365
3;72;2750;Rue Adrien-Pichard 9, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
4;86;2960;Rue Adrien-Pichard 9, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;104;2225;Rue de la Pontaise 52, 1018 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;85;2680;Avenue de Provence 7, 1007 Lausanne;Apartment;Lausanne;yes;1,5;144365
5;143;3580;Rue de la Tour 5, 1004 Lausanne;Apartment;Lausanne;yes;1,5;144365
1,5;74;2200;Rue Voltaire 14, 1006 Lausanne;Apartment;Lausanne;no;1,5;144365
7,5;180;4800;Devin 63, 1012 Lausanne;Apartment;Lausanne;yes;1,5;144365
6;232;7950;Boulevard de Grancy 5, 1006 Lausanne;Apartment;Lausanne;yes;1,5;144365
6,5;145;3400;Av. du Grey 12, 1004 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;76;2120;Rue Caroline 8, 1000 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;88;2650;Ch. de la Clochatte 106 F, 1052 Le Mont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
6;230;7950;Boulevard de Grancy 5, 1006 Lausanne;Apartment;Lausanne;yes;1,5;144365
3;52;2050;Rue des Terreaux 6, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
4;163;3510;Chemin du Bois-Murat 26, 1066 Epalinges;Apartment;Epalinges;yes;1,25;9910
2,5;59;2020;Rue Edith Burger 4, 1018 Lausanne;Apartment;Lausanne;yes;1,5;144365
2,5;69;2195;Rue Edith Burger 6, 1018 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;138;3770;Chemin de Montelly 15, 1007 Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;112;3490;Voie du Chariot 5 - 7, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
1,5;23;1600;Rue du Petit Rocher 6, 1003 Lausanne;Apartment;Lausanne;no;1,5;144365
4;111;3070;Avenue EugŠne Rambert 30, 1005 Lausanne;Apartment;Lausanne;yes;1,5;144365
4;111;3298;Ch. de Mornex 17, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;109;2920;Champs Meunier 25, 1052 Le Mont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;84;2334;Rue du Tunnel 20, 1005 Lausanne;Apartment;Lausanne;yes;1,5;144365
4;99;2415;Chemin des Pi‚cettes 4, 1052 Le Mont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;199;6665;Ch. de Primerose 15, 1007 Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;199;6310;Ch. de Primerose 15, 1007 Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;120;2540;Chemin du Marais 2, 1032 Romanel-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
6,5;240;7300;Rue du Petit-Chine 18, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;124;3515;Rue Mauborget 12, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
4;105;2919;Rue Caroline 17, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
5,5;145;5950;Place Bel-Air 1, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
4;128;3746;Rue des Terreaux 5, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
5,5;145;6160;Place Bel-Air 1, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
5;122;3005;Avenue Davel 18, 1004 Lausanne;Apartment;Lausanne;yes;1,5;144365
2,5;65;2280;Rue Edith Burger 4, 1018 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;79;3180;Avenue de Sainte-Luce 9, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;102;3665;Avenue de Sainte-Luce 9, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
3;97;2560;Chemin de Rionzi 45, 1052 Le Mont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
3;97;2810;Chemin de Rionzi 43, 1052 Le Mont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
6;150;3300;Avenue de Valmont 16, 1010 Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;157;3455;Chemin du Devin 58, 1012 Lausanne;Apartment;Lausanne;yes;1,5;144365
1;22;1150;Avenue de Montoie 38, 1007 Lausanne;Studio;Lausanne;no;1,5;144365
4,5;112;4150;Route de Marin 16b, 1000 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;90;2700;Avenue Fantaisie 6, 1006 Lausanne;Apartment;Lausanne;yes;1,5;144365
5;109;3657;Rue de l'Ancienne Douane 1, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
2,5;62;1745;Av. du Tribunal-F‚d‚ral 40, 1005 Lausanne;Apartment;Lausanne;yes;1,5;144365
5,5;124;2993;Le Grand-Chemin 126, 1066 Epalinges;Apartment;Epalinges;yes;1,25;9910
4,5;118;2915;Av. des Boveresses 78, 1010 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;75;2200;Chemin de Maillefer 14, 1018 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;80;2290;Chemin des Champs-Meunier 11, 1052 Le Mont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
1;20;1515;Chemin des Diablerets 2, 1012 Lausanne;Studio;Lausanne;no;1,5;144365
1;35;1434;Chemin du Devin 47C, 1012 Lausanne;Studio;Lausanne;no;1,5;144365
3,5;116;3910;Rue J.-J.-Cart 8, 1006 Lausanne;Apartment;Lausanne;yes;1,5;144365
2;74;2385;Rue J.-J.-Cart 6, 1006 Lausanne;Apartment;Lausanne;no;1,5;144365
3,5;90;2751;Chemin de Pr‚-Fleuri 6, 1006 Lausanne;Apartment;Lausanne;yes;1,5;144365
4;108;2990;Av. de B‚thusy 91, 1012 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;95;2600;Avenue de Gratta-Paille 12, 1018 Lausanne;Apartment;Lausanne;yes;1,5;144365
4;95;2535;Av. de Morges 39, 1004 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;87;2620;Rue Mauborget 12, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;120;2540;Chemin du Marais 2, 1032 Romanel-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;115;3401;Avenue du L‚man 28, 1005 Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;102;2660;Av. des Boveresses 78, 1010 Lausanne;Apartment;Lausanne;yes;1,5;144365
3;101;2375;Avenue des Bergi‚res 55, 1004 Lausanne;Apartment;Lausanne;yes;1,5;144365
3;82;2695;Avenue du Mont-d'Or 79, 1007 Lausanne;Apartment;Lausanne;yes;1,5;144365
3;89;2660;Rue Adrien-Pichard 2, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
4;100;2740;Chemin du Chalet Pra-Roman 4C, 1000 Lausanne 25;Apartment;Lausanne;yes;1,5;144365
3;70;1950;Av. Pierre-Maurice-Glayre 5, 1005 Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;100;2650;Chemin de la Source 20, 1032 Romanel-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
4;129;3170;Rue Cit‚-derriŠre 4, 1005 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;107;3000;Place Saint-Fran‡ois 9, 1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
5,5;112;2990;Virgile-Rossel 9, 1012 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;104;2720;Place de la Riponne 4, 1005 Lausanne;Apartment;Lausanne;yes;1,5;144365
5;102;3850;Avenue du L‚man 2, 1005 Lausanne;Apartment;Lausanne;yes;1,5;144365
1;28;1430;Avenue du L‚man 53, 1005 Lausanne;Studio;Lausanne;no;1,5;144365
1;24;1290;Avenue de Tivoli 58, 1007 Lausanne;Studio;Lausanne;no;1,5;144365
